country_id,island_id,prefecture_id,prefecture_name,year,population
KM,KM1,KM11,DOMONI,2017,69904
KM,KM1,KM11,DOMONI,2018,71668
KM,KM1,KM11,DOMONI,2019,73495
KM,KM1,KM11,DOMONI,2020,75389
KM,KM1,KM11,DOMONI,2021,77349
KM,KM1,KM11,DOMONI,2022,79356
KM,KM1,KM11,DOMONI,2023,81398
KM,KM1,KM11,DOMONI,2024,83482
KM,KM1,KM11,DOMONI,2025,85611
KM,KM1,KM11,DOMONI,2026,87773
KM,KM1,KM11,DOMONI,2027,89968
KM,KM1,KM11,DOMONI,2028,92185
KM,KM1,KM11,DOMONI,2029,94429
KM,KM1,KM11,DOMONI,2030,97439
KM,KM1,KM11,DOMONI,2031,99764
KM,KM1,KM11,DOMONI,2032,102098
KM,KM1,KM11,DOMONI,2033,104443
KM,KM1,KM11,DOMONI,2034,106946
KM,KM1,KM11,DOMONI,2035,109305
KM,KM1,KM11,DOMONI,2036,111813
KM,KM1,KM11,DOMONI,2037,114336
KM,KM1,KM11,DOMONI,2038,116904
KM,KM1,KM11,DOMONI,2039,119375
KM,KM1,KM11,DOMONI,2040,121702
KM,KM1,KM11,DOMONI,2041,124213
KM,KM1,KM11,DOMONI,2042,126744
KM,KM1,KM12,MREMANI,2017,65449
KM,KM1,KM12,MREMANI,2018,67090
KM,KM1,KM12,MREMANI,2019,68798
KM,KM1,KM12,MREMANI,2020,70564
KM,KM1,KM12,MREMANI,2021,72388
KM,KM1,KM12,MREMANI,2022,74266
KM,KM1,KM12,MREMANI,2023,76169
KM,KM1,KM12,MREMANI,2024,78110
KM,KM1,KM12,MREMANI,2025,80103
KM,KM1,KM12,MREMANI,2026,82122
KM,KM1,KM12,MREMANI,2027,84172
KM,KM1,KM12,MREMANI,2028,86239
KM,KM1,KM12,MREMANI,2029,88337
KM,KM1,KM12,MREMANI,2030,90795
KM,KM1,KM12,MREMANI,2031,92955
KM,KM1,KM12,MREMANI,2032,95128
KM,KM1,KM12,MREMANI,2033,97315
KM,KM1,KM12,MREMANI,2034,99605
KM,KM1,KM12,MREMANI,2035,101859
KM,KM1,KM12,MREMANI,2036,104200
KM,KM1,KM12,MREMANI,2037,106663
KM,KM1,KM12,MREMANI,2038,108843
KM,KM1,KM12,MREMANI,2039,111237
KM,KM1,KM12,MREMANI,2040,113541
KM,KM1,KM12,MREMANI,2041,115892
KM,KM1,KM12,MREMANI,2042,118264
KM,KM1,KM13,MUTSAMUDU,2017,63832
KM,KM1,KM13,MUTSAMUDU,2018,65444
KM,KM1,KM13,MUTSAMUDU,2019,67114
KM,KM1,KM13,MUTSAMUDU,2020,68848
KM,KM1,KM13,MUTSAMUDU,2021,70636
KM,KM1,KM13,MUTSAMUDU,2022,72474
KM,KM1,KM13,MUTSAMUDU,2023,74339
KM,KM1,KM13,MUTSAMUDU,2024,76245
KM,KM1,KM13,MUTSAMUDU,2025,78189
KM,KM1,KM13,MUTSAMUDU,2026,80169
KM,KM1,KM13,MUTSAMUDU,2027,82174
KM,KM1,KM13,MUTSAMUDU,2028,84198
KM,KM1,KM13,MUTSAMUDU,2029,86248
KM,KM1,KM13,MUTSAMUDU,2030,89041
KM,KM1,KM13,MUTSAMUDU,2031,91329
KM,KM1,KM13,MUTSAMUDU,2032,93653
KM,KM1,KM13,MUTSAMUDU,2033,96022
KM,KM1,KM13,MUTSAMUDU,2034,98075
KM,KM1,KM13,MUTSAMUDU,2035,100330
KM,KM1,KM13,MUTSAMUDU,2036,102598
KM,KM1,KM13,MUTSAMUDU,2037,104559
KM,KM1,KM13,MUTSAMUDU,2038,106861
KM,KM1,KM13,MUTSAMUDU,2039,108963
KM,KM1,KM13,MUTSAMUDU,2040,111197
KM,KM1,KM13,MUTSAMUDU,2041,113497
KM,KM1,KM13,MUTSAMUDU,2042,115755
KM,KM1,KM14,OUANI,2017,68886
KM,KM1,KM14,OUANI,2018,70622
KM,KM1,KM14,OUANI,2019,72418
KM,KM1,KM14,OUANI,2020,74282
KM,KM1,KM14,OUANI,2021,76206
KM,KM1,KM14,OUANI,2022,78182
KM,KM1,KM14,OUANI,2023,80192
KM,KM1,KM14,OUANI,2024,82241
KM,KM1,KM14,OUANI,2025,84338
KM,KM1,KM14,OUANI,2026,86466
KM,KM1,KM14,OUANI,2027,88628
KM,KM1,KM14,OUANI,2028,90808
KM,KM1,KM14,OUANI,2029,93017
KM,KM1,KM14,OUANI,2030,96293
KM,KM1,KM14,OUANI,2031,98592
KM,KM1,KM14,OUANI,2032,100902
KM,KM1,KM14,OUANI,2033,103218
KM,KM1,KM14,OUANI,2034,105634
KM,KM1,KM14,OUANI,2035,108162
KM,KM1,KM14,OUANI,2036,110480
KM,KM1,KM14,OUANI,2037,112917
KM,KM1,KM14,OUANI,2038,115489
KM,KM1,KM14,OUANI,2039,117962
KM,KM1,KM14,OUANI,2040,120439
KM,KM1,KM14,OUANI,2041,122912
KM,KM1,KM14,OUANI,2042,125407
KM,KM1,KM15,SIMA,2017,35173
KM,KM1,KM15,SIMA,2018,35847
KM,KM1,KM15,SIMA,2019,36548
KM,KM1,KM15,SIMA,2020,37270
KM,KM1,KM15,SIMA,2021,38015
KM,KM1,KM15,SIMA,2022,38782
KM,KM1,KM15,SIMA,2023,39559
KM,KM1,KM15,SIMA,2024,40355
KM,KM1,KM15,SIMA,2025,41165
KM,KM1,KM15,SIMA,2026,41988
KM,KM1,KM15,SIMA,2027,42823
KM,KM1,KM15,SIMA,2028,43664
KM,KM1,KM15,SIMA,2029,44517
KM,KM1,KM15,SIMA,2030,45491
KM,KM1,KM15,SIMA,2031,46363
KM,KM1,KM15,SIMA,2032,47241
KM,KM1,KM15,SIMA,2033,48129
KM,KM1,KM15,SIMA,2034,49052
KM,KM1,KM15,SIMA,2035,49960
KM,KM1,KM15,SIMA,2036,50870
